year,school,Overall_W,Overall_SRS,made_it
1995,Air Force,8,-4.05,0
1995,Akron,8,-7.59,0
1995,Alabama-Birmingham,14,3.42,0
1995,Alabama State,11,-15.86,0
1995,Alabama,23,15.47,1
1995,Alcorn State,7,-17.9,0
1995,American,9,-9.32,0
1995,Appalachian State,9,-10.75,0
1995,Arizona State,24,16.75,1
1995,Arizona,23,19.13,1
1995,Little Rock,17,-1.43,0
1995,Arkansas State,8,-14.25,0
1995,Arkansas,32,16.85,1
1995,Army,12,-17.95,0
1995,Auburn,16,9.17,0
1995,Austin Peay,13,-7.23,0
1995,Ball State,19,5.3,1
1995,Baylor,9,-6.05,0
1995,Bethune-Cookman,12,-16.73,0
1995,Boise State,17,4.4,0
1995,Boston College,9,0.68,0
1995,Boston University,15,-3.19,0
1995,Bowling Green State,16,2.76,0
1995,Bradley,20,8.35,0
1995,Brigham Young,22,11.65,1
1995,Brown,13,-9.56,0
1995,Bucknell,13,-7.21,0
1995,Buffalo,18,-5.29,0
1995,Butler,15,-0.99,0
1995,Cal Poly,1,-30.38,0
1995,Cal State Fullerton,7,-6.28,0
1995,Cal State Northridge,8,-11.07,0
1995,UC-Irvine,13,-0.16,0
1995,UC-Santa Barbara,13,1.73,0
1995,University of California,13,11.04,0
1995,Campbell,8,-17.19,0
1995,Canisius,21,2.72,0
1995,Centenary (LA),10,-11.9,0
1995,Central Connecticut State,8,-17.43,0
1995,Central Florida,11,-9.51,0
1995,Central Michigan,3,-13.36,0
1995,Charleston Southern,19,-4.47,0
1995,Charlotte,19,9.26,1
1995,Chattanooga,19,-1.49,1
1995,Chicago State,6,-20.31,0
1995,Cincinnati,22,18.34,1
1995,Citadel,11,-12.95,0
1995,Clemson,15,10.3,0
1995,Cleveland State,10,-8.59,0
1995,Coastal Carolina,6,-14.88,0
1995,Colgate,17,-5.43,1
1995,College of Charleston,23,2.99,0
1995,Colorado State,17,3.39,0
1995,Colorado,15,8.51,0
1995,Columbia,4,-22.44,0
1995,Connecticut,28,18.99,1
1995,Coppin State,21,-2.08,0
1995,Cornell,9,-19.89,0
1995,Creighton,7,-6.82,0
1995,Dartmouth,13,-11.02,0
1995,Davidson,14,-5.08,0
